id,tournamentid,countryid,name,isactive
6816,1,71,2012,0
6817,1,71,2013,0
6818,1,71,2014,0
6819,1,71,2015,0
6820,1,71,2016,0
6821,1,71,2017,0
6822,1,71,2018,0
6823,1,71,2019,1
6824,2,14,2014/2015,0
6825,2,14,2015/2016,0
6826,2,14,2016/2017,0
6827,2,14,2017/2018,0
6828,2,14,2018/2019,1
6829,3,62,2014/2015,0
6830,3,62,2015/2016,0
6831,3,62,2016/2017,0
6832,3,62,2017/2018,0
6833,3,62,2018/2019,0
6834,4,26,2012/2013,0
6835,4,26,2013/2014,0
6836,4,26,2014/2015,0
6837,4,26,2015/2016,0
6838,4,26,2016/2017,0
6839,4,26,2017/2018,0
6840,4,26,2018/2019,0
6841,4,26,2019/2020,1
6842,5,44,2012/2013,0
6843,5,44,2013/2014,0
6844,5,44,2014/2015,0
6845,5,44,2015/2016,0
6846,5,44,2016/2017,0
6847,5,44,2017/2018,0
6848,5,44,2018/2019,0
6849,5,44,2019/2020,1
6850,6,46,2013/2014,0
6851,6,46,2014/2015,0
6852,6,46,2015/2016,0
6853,6,46,2016/2017,0
6854,6,46,2017/2018,0
6855,6,46,2018/2019,0
6856,6,46,2019/2020,1
6857,7,44,2013/2014,0
6858,7,44,2014/2015,0
6859,7,44,2015/2016,0
6860,7,44,2016/2017,0
6861,7,44,2017/2018,0
6862,7,44,2018/2019,0
6863,7,44,2019/2020,1
6864,8,35,2013,0
6865,8,35,2014,0
6866,8,35,2015,0
6867,8,35,2016,0
6868,8,35,2017,0
6869,8,35,2018,0
6870,8,35,2019,1
6871,9,2,2014,0
6872,9,2,2015,0
6873,9,2,2016,0
6874,9,2,2017,0
6875,9,2,2018,0
6876,9,2,2019,1
6877,10,34,2012/2013,0
6878,10,34,2013/2014,0
6879,10,34,2014/2015,0
6880,10,34,2015/2016,0
6881,10,34,2016/2017,0
6882,10,34,2017/2018,0
6883,10,34,2018/2019,0
6884,10,34,2019/2020,1
6885,11,30,2014/2015,0
6886,11,30,2015/2016,0
6887,11,30,2016/2017,0
6888,11,30,2017/2018,0
6889,11,30,2018/2019,0
6890,11,30,2019/2020,1
6891,12,37,2012/2013,0
6892,12,37,2013/2014,0
6893,12,37,2014/2015,0
6894,12,37,2015/2016,0
6895,12,37,2016/2017,0
6896,12,37,2017/2018,0
