id,countryid,name
1,6,HARTFORD ATHLETIC
2,2,KUPS
3,18,FSV ZWICKAU
4,55,FK LIEPAJA
5,63,SIONI BOLNISI
6,19,QIZILQUM ZARAFSHON
7,20,SOUTHAMPTON
8,39,ZHEJIANG YITENG
9,57,ARENDAL
10,53,LPS TOZEUR
11,18,WERDER BREMEN II
12,9,VIGOR LAMEZIA
13,48,AL-SHAMAL
14,18,HEIDER SV
15,44,AUSTRIA VIENNA
16,9,CUNEO
17,58,CAEN
18,44,SC RETZ
19,20,BRISTOL ROVERS
20,48,AL-KHARAITIYAT
21,77,TACUARY
22,36,REAL DE MINAS
23,19,FK BUXORO
24,46,SAKHALIN
25,20,TRURO CITY
26,63,DINAMO BATUMI
27,42,CESAR VALLEJO
28,46,SKA-KHABAROVSK
29,39,GUIZHOU HENGFENG
30,18,VfB OLDENBURG
31,46,BIOLOG-NOVOKUBANSK
32,42,SPORTING CRISTAL
33,43,NK SLAVEN BELUPO
34,59,FC DIFFERDANGE 03
35,9,FANO ALMA J.
36,57,VALERENGA
37,67,HB KOGE
38,6,LAS VEGAS LIGHTS FC
39,9,FERMANA
40,22,GRINDAVIK
41,55,SPARTAKS
42,7,MISR EL MAKASA
43,22,KR REYKJAVIK
44,73,BENFICA
45,9,FROSINONE
46,76,SHARJAH FC
47,8,DUNFERMLINE
48,20,LEYTON ORIENT
49,45,VOLOS NPS
50,38,DEFENSA Y JUSTICIA
51,31,VITEZ
52,12,WILLEM II
53,41,JAVOR
54,18,VSG ALTGLIENICKE
55,22,THOR AKUREYRI
56,6,SWOPE PARK RANGERS
57,31,MLADOST DOBOJ KAKANJ
58,16,ROYAL PARI FC
59,24,ZALAEGERSZEGI TE
60,18,GOSLARER SC
61,46,URAL
62,54,FINN HARPS
63,17,PENANG
64,59,US RUMELANGE
65,15,HAVERFORDWEST COUNTY
66,4,ANSAN GREENERS
67,15,RHYL FC
68,18,FORTUNA DUSSELDORF II
69,10,SANTA CRUZ
70,20,STOCKPORT
71,2,ESPA
72,17,FELDA UNITED FC
73,21,ATLANTAS
74,36,REAL ESPANA
75,60,ANTWERP
76,46,SPARTAK MOSCOW 2
77,51,MINYOR PERNIK
78,41,NOVI PAZAR
79,46,DRUZHBA MAYKOP
80,25,APOEL
81,18,SC WIEDENBRUCK 2000
82,57,FLORO
83,28,EL EULMA
84,35,IF ELFSBORG
85,20,GILLINGHAM
86,9,PIANESE
87,73,FC PORTO
88,57,RANHEIM
89,60,ROESELARE
90,14,DINAMO MINSK
91,19,NAVBAHOR NAMANGAN
92,42,COMERCIANTES UNIDOS
93,39,BEIJIN RENHE FC
94,44,FC LENDORF
95,44,FC DORNBIRN 1913
96,30,SENGLEA ATHLETIC
97,18,ROT-WEISS OBERHAUSEN
98,59,PROGRES NIEDERKORN
99,30,ZEBBUG RANGERS
100,60,DEINZE
101,44,SC SCHWAZ
102,57,BODO/GLIMT
103,32,AL-WEHDA CLUB
104,67,FC FREDERICIA
105,20,DARTFORD
106,75,DONEGAL CELTIC
107,18,WORMATIA WORMS
108,9,PAGANESE
109,55,BFC DAUGAVPILS
110,14,TORPEDO ZHODINO
111,44,STURM GRAZ
112,29,DELFIN SC
113,47,SEKTZYA NESS ZIONA
114,75,DUNGANNON SWIFTS
115,20,MARGATE
116,12,AGOVV
117,2,PPT
118,3,BUSAITEEN
119,76,SHABAB AL-AHLI DUBAI
120,74,ORDABASY
121,38,PATRONATO
122,50,GORNIK ZABRZE
123,22,VALUR REYKJAVIK
124,71,COLO COLO
125,57,VALDRES FK
126,9,MACERATESE
127,61,VEGALTA SENDAI
128,44,WACKER INNSBRUCK
129,40,BANANTS YEREVAN
130,28,US CHAOUIA
131,69,HOME UNITED FC
132,53,CS SFAXIEN
133,28,JS SAOURA
134,69,WOODLANDS WELLINGTON
135,20,EAST THURROCK UNITED
136,57,PORS GRENLAND
137,9,MATERA
138,45,PANATHINAIKOS
139,12,JONG AJAX
140,9,NOCERINA
141,6,ORANGE COUNTY SC
142,4,JEONNAM DRAGONS
143,18,FC SAARBRUCKEN
144,72,FREE STATE STARS
145,28,ASO CHLEF
146,44,SV GRODIG
147,31,NK CELIK ZENICA
148,20,DAGENHAM &amp; REDBRIDGE
149,18,KICKERS OFFENBACH
150,59,WILTZ
151,58,STADE BRESTOIS 29
152,9,CESENA
153,48,UMM SALAL
154,57,STJORDALS BLINK
155,58,LENS
156,46,FC TOSNO
157,44,SV WALLERN
158,9,MELFI
159,48,QATAR SC
160,12,NAC BREDA
161,71,IQUIQUE
162,73,MAFRA
163,24,GYIRMOT SE
164,30,BIRKIRKARA
165,2,JAPS
166,19,DINAMO SAMARQAND
167,35,UTSIKTENS BK
168,2,AC KAJAANI
169,20,CAMBRIDGE UNITED
170,28,US BISKRA
171,35,IK SLEIPNER
172,18,TSG BALINGEN
173,77,CLUB NACIONAL
174,10,JOINVILLE
175,4,DAEJEON CITIZEN
176,45,ATROMITOS ATHINON
177,2,OTP
178,65,KECIORENGUCU
179,35,IS HALMIA
180,46,METALLURG NOVOKUZN.
181,37,VORSKLA POLTAVA
182,46,FAKEL VORONEZH
183,2,VIFK
184,20,HUNGERFORD TOWN
185,38,LANUS
186,11,LA EQUIDAD
187,20,AFC HORNCHURCH
188,2,ROPS/2
189,58,GAZELEC FC AJACCIO
190,26,FC WIL 1900
191,68,STIINTA MIROSLAVA
192,46,TAMBOV
193,46,SKCF SEVASTOPOL
194,67,FC COPENHAGEN
195,65,FETHIYESPOR
196,20,BOREHAM WOOD
197,33,MELBOURNE CITY
198,9,VIRTUS FRANCAVILLA
199,27,TAMMEKA TARTU
200,58,CARQUEFOU
201,70,SAIPA
202,46,KVANT OBNINSK
203,59,F91 DUDELANGE
204,57,STABAEK
205,31,FK BORAC BANJA LUKA
206,12,FORTUNA SITTARD
207,28,AS AIN MLILA
208,51,LOKOMOTIV G. ORYAHOVITSA
209,7,EL MINYA FC
210,9,INTER
211,7,ENPPI
212,35,RYNNINGE IK
213,6,EL PASO LOCOMOTIVE
214,47,MACCABI HAIFA
215,63,FC TSKHINVALI
216,35,GIF SUNDSVALL
217,64,LORCA FC
218,44,SCR ALTACH
219,18,SpVgg NECKARELZ
220,65,ALTINORDU
221,44,TSV NEUMARKT
222,66,DEPORTIVO LARA
223,1,PEREZ ZELEDON
224,58,ANGERS
225,4,GOYANG ZAICRO FC
226,55,FB GULBENE-2005
227,2,JIPPO
228,2,FC VIIKKARIT
229,61,SHONAN BELLMARE
230,60,ANDERLECHT
231,70,NAVAD URMIA
232,57,BYASEN
233,50,STOMIL OLSZTYN
234,49,MONTEVIDEO WANDERERS
235,41,MACVA
236,50,GORNIK LECZNA
237,20,HUDDERSFIELD
238,58,NIMES
239,52,ALUMINIJ
240,22,FRAM REYKJAVIK
241,44,AUSTRIA VIENNA (AM)
242,64,CADIZ
243,9,TERNANA
244,64,CORDOBA
245,46,VOLGA NIZHN.NOVGOROD
246,50,ZAGLEBIE LUBIN
247,68,FC ASTRA GIURGIU
248,23,VIKTORIA PLZEN
249,46,ARSENAL TULA
250,3,BUDAIYA
251,46,SEVER MURMANSK
252,58,ARLES
253,11,BUCARAMANGA
254,57,OPPSAL
255,65,OSMANLISPOR
256,60,AS EUPEN
257,18,EINTRACHT NORDERSTEDT
258,46,METALLURG LIPETSK
259,73,MARITIMO B
260,63,ZESTAFONI
261,6,OTTAWA FURY FC
262,73,SPORTING CP B
263,11,MILLONARIOS
264,18,1899 HOFFENHEIM II
265,25,AEL LIMASSOL
266,65,GIRESUNSPOR
267,10,BRASIL DE PELOTAS
268,35,JONKOPINGS SODRA
269,57,DRAMMEN
270,23,SLOVAN LIBEREC
271,20,GOSPORT BOROUGH
272,58,BASTIA-BORGO
273,46,ZENIT 2
274,16,UNIVERSITARIO PANDO
275,8,ALLOA ATHLETIC
276,38,HURACAN
277,38,UNION SANTA FE
278,63,FC SABURTALO
279,77,SPORTIVO TRINIDENSE
280,31,NK METALLEGHE-BSI
281,20,CRAWLEY TOWN
282,15,LLANDUDNO
283,75,INSTITUTE FC
284,41,DONJI SREM PECINCI
285,41,BSK
286,52,NK CM CELJE
287,46,LOKOMOTIV LISKI
288,64,REAL SOCIEDAD
289,32,AL-SHABAB RIYADH
290,9,OLBIA
291,50,PIAST GLIWICE
292,6,NEW YORK RED BULLS
293,23,FK JABLONEC
