id,countryid,name
1,71,D1
2,14,D1
3,62,BOTOLA PRO
4,26,SUPERLEAGUE
5,44,BUNDESLIGA
6,46,PROFESSIONAL FOOTBALL LEAGUE WEST
7,44,REGIONAL LEAGUE CENTRAL
8,35,SUPERETTAN
9,2,F3C
10,34,Liga MX
11,30,PREMIER LEAGUE
12,37,D1
13,15,PL
14,75,NIFL
15,18,Reg West
16,58,F3
17,9,I1
18,10,SERIE B
19,55,VIRSLIGA
20,23,D2
21,5,D1
22,9,I3C
23,47,PL
24,20,EC
25,76,Pro League
26,46,RUSSIAN FOOTBALL PREMIER LEAGUE
27,20,E2
28,59,NATIONAL DIVISION
29,18,Reg Bavaria
30,28,LIGUE 1
31,9,I3B
32,67,1 DIVISION
33,50,EKSTRAKLASA
34,7,D1
35,57,ELITESERIEN
36,4,K LEAGUE 2
37,39,SUPER LEAGUE
38,61,J1 LEAGUE
39,25,D1
40,58,F1
41,68,LIGA I
42,46,NATIONAL LEAGUE
43,56,D1
44,42,D1
45,2,F3A
46,8,SC0
47,23,D1
48,19,SUPER LEAGUE
49,46,PROFESSIONAL FOOTBALL LEAGUE EAST
50,60,B1
51,12,N1
52,44,D2
53,41,D1
54,58,F2
55,2,VEIKKAUSLIIGA
56,12,N2
57,24,D1
58,43,D1
59,35,ALLSVENSKAN
60,2,F3B
61,46,PROFESSIONAL FOOTBALL LEAGUE CENTER
62,18,Reg NorthEast
63,9,I2
64,46,PROFESSIONAL FOOTBALL LEAGUE SOUTH
65,33,D1
66,65,T2
67,21,DIVISION 1
68,20,ECNorth
69,20,ECSouth
70,66,D1
71,50,I LIGA
72,18,Reg SouthWest
73,16,D1
74,13,PRO LEAGUE
75,2,F2
76,32,Pro League
77,18,D1
78,44,REGIONAL LEAGUE EAST
79,49,D1
80,73,P2
81,51,D1
82,53,LIGUE 1
83,44,REGIONAL LEAGUE SALZBURG
84,1,D1
85,18,D2
86,38,PRIMERA DIVISION
87,63,EROVNULI LIGA
88,54,PREMIER DIVISION
89,20,E1
90,20,E0
91,31,D1
92,35,DIVISION 1 SOUTH
93,45,G1
94,28,LIGUE 2
95,6,MAJOR LEAGUE SOCCER
96,65,T1
97,3,PREMIER LEAGUE
98,68,LIGA II
99,64,SP2
100,40,PREMIER LEAGUE
101,8,SC3
102,73,P1
103,48,Stars League
104,52,D1
105,11,D1
106,64,SP1
107,70,PRO LEAGUE
108,17,SUPER LEAGUE
109,26,CHALLENGE LEAGUE
110,8,SC1
111,57,2 DIVISJON GROUP 2
112,77,D1
113,4,K LEAGUE 1
114,8,SC2
115,35,DIVISION 1 NORTH
116,22,D1
117,18,D3
118,27,D1
119,32,DIVISION 1
120,72,D1
121,69,SL
122,57,2 DIVISJON GROUP 1
123,36,D1
124,74,PREMIER LEAGUE
125,57,1 DIVISJON
126,10,SERIE A
127,9,I3A
128,6,UNITED SOCCER LEAGUE
129,18,Reg North
130,60,B2
131,67,SUPERLIGAEN
132,29,D1
133,20,E3
